name,town,sport,website,email,phone
Tauchsportverein Unterwasserflöhe e.V.,ruesselsheim,schwimmen,https://unterwasserfloehe.de,,
Tennisclub Rüsselsheim 1929 e.V.,ruesselsheim,tennis,https://tc-ruesselsheim.de,,06142 4091918
Turn- und Sportvereinigung 1906 Rüsselsheim e.V.,ruesselsheim,mehrsport,https://tus-ruesselsheim.de,,(06142) 68657
TV 1888 Königstädten e.V.,ruesselsheim,mehrsport,https://tv-koenigstaedten.de,vorstand@tv-koenigstaedten.de,(06142) 33279
TV 1890 e.V. Rüsselsheim-Haßloch,ruesselsheim,mehrsport,https://tv-hassloch.de,,
UCR Unterwasser Club Rüsselsheim e.V.,ruesselsheim,schwimmen,https://uc-r.de,,
Verein für Rasenspiele Rüsselsheim e.V.,ruesselsheim,fussball,https://rccar.vfr-ruesselsheim.de,,
Wassersportverein Undine Rüsselsheim 1952 e.V.,ruesselsheim,wassersport,https://kanu-undine.de,,
Volleyballclub Rüsselsheim e.V.,ruesselsheim,volleyball,https://vcruesselsheim.de,,
TSV Raunheim – Turn- und Sportverein 1882 e.V.,raunheim,mehrsport,https://tsvraunheim.de,tsaraunheim@gmail.com,
Sport- und Sängervereinigung 1921 Raunheim e.V.,raunheim,mehrsport,https://www.ssv-raunheim.de,,
SV 07 Raunheim e.V.,raunheim,fussball,https://sv07raunheim.de,vorstand@sv07raunheim.com,
Kanu-Club Wanderfahrer 1955 Raunheim e.V.,raunheim,wassersport,https://www.kcw-raunheim.com,info@kcw-raunheim.com,
Yachtclub Untermain Raunheim e.V. im ADAC,raunheim,wassersport,https://ycu-raunheim.de,,
Turn- und Sportverein 1884 Kelsterbach e.V.,kelsterbach,mehrsport,https://www.tus-kelsterbach.de,,
Ball-Spiel-Club 1947 Kelsterbach e.V.,kelsterbach,mehrsport,https://bsc-kelsterbach-fussball.de,,
Freizeitsportclub 1974 Kelsterbach e.V.,kelsterbach,mehrsport,https://fsc-kelsterbach.de,geo.papakyriakou@fsc-kelsterbach.de,
Schützengilde 1933 Kelsterbach e.V.,kelsterbach,schiesssport,http://www.sgk1933.de,info@sgk1933.de,06107 33 80
1. Bowling-Verein Kelsterbach e.V.,kelsterbach,sonstiges_sport,https://www.bv-kelsterbach.de,,
Bowling Verein 22 Kelsterbach e.V.,kelsterbach,sonstiges_sport,https://bv22.de,,
Kegel- und Bowlingverein Kelsterbach e.V.,kelsterbach,sonstiges_sport,https://www.kbv-kelsterbach.de,info@kbv-kelsterbach.de,0173 6696677
